Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Category,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station,num_facilities
3.0,2.0,1000,0,,"Apartment / Condominium, For Sale","Playground, Minimart, Jogging Track, Barbeque area, Parking, Security, Lift",Sri Lavender Apartment,Tls Group,Freehold,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor",2007.0,13.0,445.0,Apartment,1.0,Medium,Non Bumi Lot,-,,0,0,,0,230000,0,0,,7
3.0,2.0,1100,0,,"Apartment / Condominium, For Sale","Parking, Swimming Pool, Multipurpose hall, Sauna, Minimart, Barbeque area, Security, Playground, Gymnasium, Tennis Court, Lift",D'Piazza Condominium,X-Scan Penang Sdn Bhd,Freehold,"Jalan Mayang Pasir 2, Bayan Baru, Penang",2010.0,19.0,706.0,Condominium,1.0,Low,Non Bumi Lot,E,,0,0,,0,425000,0,0,,11
3.0,2.0,852,0,,"Apartment / Condominium, For Sale","Parking, Playground, Swimming Pool, Multipurpose hall, Security, Gymnasium, Club house, Barbeque area, Minimart, Jogging Track, Lift",Vista Lavender,Talam Transform Berhad,Leasehold,"Persiaran Kinrara Seksyen 3, Bandar Kinrara, Puchong, Selangor",2000.0,12.0,480.0,Apartment,1.0,-,Non Bumi Lot,E,"Bus Stop at Jalan Puchong 5
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Puchong 7
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2
Bus Stop at Jalan TK 1/11A",0,0,"Kafa Integrasi Al-Falah
Sekolah Jenis Kebangsaan (Cina) Yak Chee
Sekolah Kebangsaan Bukit Kuchai
Sekolah Kebangsaan Seksyen 1 Bandar Kinrara",0,200000,0,0,,11
3.0,2.0,850,0,,"Apartment / Condominium, For Sale","Multipurpose hall, Parking, Security, Swimming Pool",Alam Prima,Syarikat Perumahan Negara Berhad,Freehold,"No. 6 Jalan Budiman 22/3, Seksyen 22,, Shah Alam, Selangor",2010.0,435.0,435.0,Apartment,2.0,-,Bumi Lot,E,"Bus Stop at Persiaran Jubli Perak 5
Bus Stop at Seksyen 15 (Timur)
Bus Stop at Batu Tiga Federal Highway
Bus Stop at Persiaran Teknologi 1
Bus Stop at Federal Highway 4
Bus Stop at Persiaran Teknologi 2",0,0,,0,300000,0,0,,4
3.0,2.0,660,0,,"Apartment / Condominium, For Sale","Parking, Playground, Security",Sri Aman Block C (Sri Aman Block 1 & 3),-,Freehold,"Persiaran Paya Terubong 3, Bukit Jambul, Penang",2008.0,18.0,701.0,Apartment,1.0,Medium,Non Bumi Lot,E,,0,0,,0,265000,0,0,,3
3.0,2.0,1246,0,,"Apartment / Condominium, For Sale","Playground, Gymnasium, Sauna, Security, Swimming Pool, Parking, Jogging Track, Lift, Barbeque area",QuayWest Residence,Asia Green Group,Freehold,"Persiaran Bayan Indah Off Bayan Mutiara, Batu Uban, Penang",2021.0,24.0,1235.0,Condominium,2.0,Medium,Non Bumi Lot,E,,0,0,,0,790000,0,0,,9
3.0,2.0,1250,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Ameera Residence,Tls Group,Freehold,"Jalan Mutiara 3, Mutiara Heights,, Kajang, Selangor",2016.0,22.0,428.0,Condominium,2.0,-,Non Bumi Lot,E,,0,0,,0,340000,0,0,,11
3.0,2.0,1048,0,,"Apartment / Condominium, For Sale","Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Lift",Intan Apartment (Puchong),-,Freehold,"Jalan Intan, Taman Puchong Intan, Puchong, Selangor",1990.0,10.0,480.0,Apartment,1.0,-,Non Bumi Lot,E,"Bus Stop at Jalan Intan 2
Bus Stop at Kompleks Rakan Muda
Bus Stop at Jalan Puchong 6
Bus Stop at LRT Bandar Puteri",0,0,Sekolah Kebangsaan Puchong Indah,0,230000,0,0,LRT Station Bandar Puteri (Sri Petaling Line),12
3.0,2.0,1150,0,,"Apartment / Condominium, For Sale","Swimming Pool, Barbeque area, Parking, Tennis Court, Minimart, Playground, Squash Court, Sauna, Security, Gymnasium, Lift, Club house",Leader Garden,-,Freehold,"No 1, Jalan Chee Seng 13, Tanjung Bungah, Penang",1998.0,22.0,428.0,Condominium,1.0,Low,Non Bumi Lot,E,,0,0,,0,430000,0,0,,12
3.0,2.0,901,0,,"Apartment / Condominium, For Sale","Parking, Swimming Pool, Jogging Track, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall",Eco Bloom @ Eco Meadows,Eco World Development Group Berhad,Freehold,"Jalan Paboi, Simpang Ampat, Penang",2020.0,33.0,490.0,Condominium,2.0,High,Non Bumi Lot,E,,0,0,,0,500000,0,0,,8
